<<<<<<<<<<<<<<<<<<<<<<<<<<<<<En Root Area tenemos>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> 
<<<<<<<<<<<<<<<<<<<<<<<<<<<<<En PUCMM-CSTA > EP > 2do Nivel tenemos>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> 
4 QUIC abierta(en camino)
1 iCloud abierta(en camino)
9 HTTPS.BROWSER abierta(en camino)
4 Google.Services abierta(en camino)
6 Facebook abierta(en camino)
1 HTTP.BROWSER_Chrome abierta(en camino)
1 Twitter abierta(en camino)
2 STUN abierta(en camino)
1 Apple.Maps abierta(en camino)
1 Google.Accounts abierta(en camino)
1 Microsoft.Outlook.Office.365 abierta(en camino)
1 Microsoft.Authentication abierta(en camino)
1 Microsoft.Office.Online abierta(en camino)
2 Netflix abierta(en camino)
1 Google.Ads abierta(en camino)
1 Hola.Unblocker abierta(en camino)
2 Apple.Store abierta(en camino)
2 WhatsApp abierta(en camino)
1 FaceTime abierta(en camino)
<<<<<<<<<<<<<<<<<<<<<<<<<<<<<En PUCMM-CSTA > B2 > 4to Nivel tenemos>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> 
2 Facebook abierta(en camino)
1 Microsoft.Outlook.Office.365 abierta(en camino)
3 QUIC abierta(en camino)
4 HTTPS.BROWSER abierta(en camino)
2 Google.Services abierta(en camino)
1 WhatsApp_File.Transfer abierta(en camino)
1 HTTP.BROWSER abierta(en camino)
1 Google.Accounts abierta(en camino)
1 IMAPS abierta(en camino)
1 Apple.Store abierta(en camino)
1 Hola.Unblocker abierta(en camino)
1 HTTP.BROWSER_Chrome abierta(en camino)
1 Instagram abierta(en camino)
1 WhatsApp abierta(en camino)
<<<<<<<<<<<<<<<<<<<<<<<<<<<<<En PUCMM-CSTA > EP > 1mer Nivel tenemos>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> 
7 HTTPS.BROWSER abierta(en camino)
3 Instagram abierta(en camino)
5 Google.Services abierta(en camino)
1 MS.Windows.Update abierta(en camino)
7 QUIC abierta(en camino)
2 Apple.Store abierta(en camino)
1 HTTP.BROWSER_Chrome abierta(en camino)
1 IMAPS abierta(en camino)
7 Facebook abierta(en camino)
1 Apple.Maps abierta(en camino)
1 NTP abierta(en camino)
1 Microsoft.Portal abierta(en camino)
1 WhatsApp abierta(en camino)
1 Apple.Push.Notification abierta(en camino)
1 HTTP.BROWSER abierta(en camino)
1 Amazon.Ads abierta(en camino)
2 WhatsApp_File.Transfer abierta(en camino)
1 STUN abierta(en camino)
1 iCloud abierta(en camino)
1 BitTorrent abierta(en camino)
<<<<<<<<<<<<<<<<<<<<<<<<<<<<<En PUCMM-CSTA > EA2 > 1mer Nivel tenemos>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> 
4 QUIC abierta(en camino)
1 Apple.Services abierta(en camino)
3 Facebook abierta(en camino)
1 HTTPS.BROWSER abierta(en camino)
1 Microsoft.Office.Online abierta(en camino)
1 WhatsApp abierta(en camino)
1 Twitter abierta(en camino)
1 Yahoo.Services abierta(en camino)
1 Instagram abierta(en camino)
<<<<<<<<<<<<<<<<<<<<<<<<<<<<<En PUCMM-CSTA > EA1 > 1mer Piso tenemos>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> 
3 Facebook abierta(en camino)
2 Amazon.AWS abierta(en camino)
9 HTTPS.BROWSER abierta(en camino)
1 Snapchat abierta(en camino)
1 Skype.Portals abierta(en camino)
1 Google.Data.Saver abierta(en camino)
1 STUN abierta(en camino)
1 Google.Accounts abierta(en camino)
1 Apple.Store abierta(en camino)
1 HTTP.BROWSER abierta(en camino)
1 IMAPS abierta(en camino)
1 Google.Ads abierta(en camino)
2 Google.Services abierta(en camino)
1 Microsoft.Office.365.Portal abierta(en camino)
1 NTP abierta(en camino)
<<<<<<<<<<<<<<<<<<<<<<<<<<<<<En PUCMM-CSTA > EA1 > 3er Nivel tenemos>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> 
3 HTTPS.BROWSER abierta(en camino)
1 Amazon.AWS_S3 abierta(en camino)
1 MPTCP abierta(en camino)
2 HTTP.BROWSER_Chrome abierta(en camino)
1 STUN abierta(en camino)
1 Telegram abierta(en camino)
1 OneDrive abierta(en camino)
1 Google.Calendar abierta(en camino)
1 Avira.Update abierta(en camino)
2 Google.Services abierta(en camino)
1 NTP abierta(en camino)
<<<<<<<<<<<<<<<<<<<<<<<<<<<<<En PUCMM-CSTA > A2 > A2N1 tenemos>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> 
1 Amazon.AWS abierta(en camino)
1 HTTP.BROWSER_Chrome abierta(en camino)
1 iCloud abierta(en camino)
1 Microsoft.Authentication abierta(en camino)
1 Instagram abierta(en camino)
2 Google.Accounts abierta(en camino)
1 QUIC abierta(en camino)
1 BitTorrent abierta(en camino)
1 Google.Analytics abierta(en camino)
1 Facebook abierta(en camino)
1 HTTPS.BROWSER abierta(en camino)
1 Apple.Push.Notification abierta(en camino)
1 STUN abierta(en camino)
1 Google.Services abierta(en camino)
<<<<<<<<<<<<<<<<<<<<<<<<<<<<<En PUCMM-CSTA > A2 > A2N2 tenemos>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> 
6 QUIC abierta(en camino)
1 Netflix abierta(en camino)
3 MS.Windows.Update abierta(en camino)
11 HTTPS.BROWSER abierta(en camino)
2 Microsoft.Portal abierta(en camino)
1 NTP abierta(en camino)
1 Amazon.Services abierta(en camino)
2 Google.Services abierta(en camino)
1 Google.Docs abierta(en camino)
1 WhatsApp abierta(en camino)
1 Apple.Push.Notification abierta(en camino)
1 Wikipedia abierta(en camino)
1 Gmail abierta(en camino)
1 Amazon.Ads abierta(en camino)
1 Instagram abierta(en camino)
1 OneDrive abierta(en camino)
1 Facebook abierta(en camino)
1 STUN abierta(en camino)
1 Apple.Store abierta(en camino)
1 HTTP.BROWSER abierta(en camino)
<<<<<<<<<<<<<<<<<<<<<<<<<<<<<En PUCMM-CSTA > A1 > 2do Nivel tenemos>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> 
2 Instagram abierta(en camino)
1 iCloud abierta(en camino)
2 QUIC abierta(en camino)
1 NTP abierta(en camino)
1 HTTP.BROWSER abierta(en camino)
2 HTTPS.BROWSER abierta(en camino)
1 Apple.Store abierta(en camino)
<<<<<<<<<<<<<<<<<<<<<<<<<<<<<En PUCMM-CSTA > EP > 3cer Nivel tenemos>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> 
1 Google.Services abierta(en camino)
5 HTTPS.BROWSER abierta(en camino)
3 QUIC abierta(en camino)
2 Instagram abierta(en camino)
1 MS.Windows.Update abierta(en camino)
4 Facebook abierta(en camino)
1 Microsoft.SharePoint abierta(en camino)
<<<<<<<<<<<<<<<<<<<<<<<<<<<<<En PUCMM-CSTA > EA1 > 2do Nivel tenemos>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> 
1 HTTP.BROWSER abierta(en camino)
5 HTTPS.BROWSER abierta(en camino)
1 IMAPS abierta(en camino)
1 Ping abierta(en camino)
1 Google.Services abierta(en camino)
1 Microsoft.Portal abierta(en camino)
1 QUIC abierta(en camino)
<<<<<<<<<<<<<<<<<<<<<<<<<<<<<En PUCMM-CSTA > CI > N1 tenemos>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> 
1 Amazon.AWS abierta(en camino)
6 HTTPS.BROWSER abierta(en camino)
5 QUIC abierta(en camino)
1 Hola.Unblocker abierta(en camino)
1 Microsoft.Portal abierta(en camino)
2 Facebook abierta(en camino)
1 IMAPS abierta(en camino)
1 HTTP.BROWSER_Chrome abierta(en camino)
<<<<<<<<<<<<<<<<<<<<<<<<<<<<<En PUCMM-CSTA > EA1 > 4to Nivel tenemos>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> 
2 WhatsApp_File.Transfer abierta(en camino)
5 Google.Services abierta(en camino)
3 HTTPS.BROWSER abierta(en camino)
1 QUIC abierta(en camino)
1 Microsoft.Office.Online abierta(en camino)
1 HTTP.BROWSER_Chrome abierta(en camino)
1 Instagram abierta(en camino)
1 SSL_TLSv1.2 abierta(en camino)
<<<<<<<<<<<<<<<<<<<<<<<<<<<<<En PUCMM-CSTA > B1 > 1mer Nivel tenemos>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> 
1 Instagram abierta(en camino)
<<<<<<<<<<<<<<<<<<<<<<<<<<<<<En PUCMM-CSTA > B1 > 3er Nivel tenemos>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> 
1 QUIC abierta(en camino)
<<<<<<<<<<<<<<<<<<<<<<<<<<<<<En PUCMM-CSTA > B1 > 4to tenemos>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> 
3 HTTPS.BROWSER abierta(en camino)
